SOMAscan ID,UniProt ID,Gene,Protein,#SNP,Internal_R2,Internal_Rho,FENLAND_R2,FENLAND_Rho,FENLAND_MissingRate,MEC_CN_R2,MEC_CN_Rho,MEC_CN_MissingRate,MEC_IN_R2,MEC_IN_Rho,MEC_IN_MissingRate,MEC_MA_R2,MEC_MA_Rho,MEC_MA_MissingRate,JHS_R2,JHS_Rho,JHS_MissingRate
NAP1L2.13529.39.3,Q9ULW6,NAP1L2,Nucleosome assembly protein 1-like 2,6,0.021,0.15,0.002,0.041,0.0,0.0,0.002,0.0,0.018,0.132,0.0,0.005,0.07,0.0,,,
UTS2R.13530.5.3,Q9UKP6,UTS2R,Urotensin-2 receptor,1,0.01,0.071,0.0,0.013,0.0,,,,,,,,,,,,
MYCT1.13541.1.3,Q8N699,MYCT1,Myc target protein 1,39,0.075,0.278,0.0,0.008,0.0,0.002,0.046,0.026,0.003,0.035,0.026,0.009,0.072,0.026,,,
PTGR1.13543.7.3,Q14914,PTGR1,Prostaglandin reductase 1,65,0.101,0.278,,,,,,,,,,,,,,,
HMHA1.13544.9.3,Q92619,ARHGAP45,Rho GTPase-activating protein 45,5,0.022,0.149,0.009,0.093,0.0,0.002,0.037,0.0,0.015,0.112,0.0,0.033,0.188,0.0,,,
EIF1AD.13545.97.3,Q8N9N8,EIF1AD,Probable RNA-binding protein EIF1AD,72,0.133,0.355,0.0,0.006,0.028,0.0,0.015,0.111,0.004,-0.056,0.111,0.004,0.052,0.111,,,
SWAP70.13552.7.3,Q9UH65,SWAP70,Switch-associated protein 70,82,0.161,0.394,0.026,0.169,0.024,0.046,0.234,0.11,0.028,0.183,0.11,0.021,0.171,0.11,,,
REPIN1.13554.78.3,Q9BWE0,REPIN1,Replication initiator 1,69,0.08,0.297,0.005,0.076,0.029,0.0,-0.001,0.333,0.006,0.068,0.333,0.003,0.033,0.333,,,
ACBD7.13563.259.3,Q8N6N7,ACBD7,Acyl-CoA-binding domain-containing protein 7,16,0.04,0.205,0.001,0.021,0.0,0.0,0.001,0.062,0.0,0.009,0.062,0.004,0.077,0.062,,,
SSU72.13566.2.3,Q9NP77,SSU72,RNA polymerase II subunit A C-terminal domain phosphatase SSU72,67,0.12,0.339,0.0,0.023,0.015,0.0,0.038,0.119,0.0,0.015,0.119,0.005,0.057,0.119,,,
HDLBP.13570.43.3,Q00341,HDLBP,Vigilin,9,0.025,0.152,0.0,0.013,0.0,0.001,0.04,0.111,0.002,0.037,0.111,0.005,0.065,0.111,,,
ARPC3.13573.5.3,O15145,ARPC3,Actin-related protein 2/3 complex subunit 3,1,0.009,0.099,0.001,0.024,0.0,0.007,-0.106,0.0,0.004,0.061,0.0,0.001,0.028,0.0,,,
RND1.13574.50.3,Q92730,RND1,Rho-related GTP-binding protein Rho6,1,0.01,0.09,0.0,-0.004,0.0,,,,,,,,,,,,
DVL2.13575.40.3,O14641,DVL2,Segment polarity protein dishevelled homolog DVL-2,48,0.108,0.304,0.099,0.287,0.479,0.065,0.219,0.208,0.097,0.259,0.208,0.128,0.333,0.208,,,
GSTP1.13576.15.3,P09211,GSTP1,Glutathione S-transferase P,3,0.021,0.122,,,,,,,,,,,,,,,
UAP1.13580.2.3,Q16222,UAP1,UDP-N-acetylhexosamine pyrophosphorylase,7,0.019,0.138,0.0,0.007,0.286,0.002,-0.05,0.143,0.0,-0.017,0.143,0.0,0.022,0.143,,,
APAF1.13583.19.3,O14727,APAF1,Apoptotic protease-activating factor 1,28,0.055,0.237,0.001,-0.013,0.0,0.002,-0.028,0.107,0.0,0.015,0.107,0.001,0.038,0.107,,,
RACGAP1.13587.10.3,Q9H0H5,RACGAP1,Rac GTPase-activating protein 1,458,0.086,0.285,0.145,0.365,0.286,0.001,0.007,0.203,0.044,0.191,0.203,0.011,0.113,0.203,,,
ANXA9.13588.11.3,O76027,ANXA9,Annexin A9,2,0.013,0.087,0.0,0.002,0.0,0.001,-0.024,0.0,0.0,0.025,0.0,0.003,-0.049,0.0,,,
REXO2.13590.1.3,Q9Y3B8,REXO2,Oligoribonuclease_ mitochondrial,1,0.01,0.092,0.0,-0.017,0.0,0.002,-0.037,0.0,0.02,0.141,0.0,0.004,-0.069,0.0,,,
GGA1.13594.158.3,Q9UJY5,GGA1,ADP-ribosylation factor-binding protein GGA1,38,0.07,0.251,0.0,0.004,0.0,0.001,0.029,0.132,0.001,-0.027,0.132,0.005,0.057,0.132,,,
RAB31.13597.20.3,Q13636,RAB31,Ras-related protein Rab-31,22,0.073,0.208,0.001,0.02,0.091,0.001,0.025,0.227,0.0,0.012,0.227,0.002,0.035,0.227,,,
RABEPK.13599.15.3,Q7Z6M1,RABEPK,Rab9 effector protein with kelch motifs,8,0.023,0.159,0.015,0.123,0.0,0.015,0.101,0.0,0.017,0.134,0.0,0.044,0.2,0.0,,,
NHP2L1.13602.6.3,P55769,SNU13,NHP2-like protein 1,82,0.164,0.38,0.0,-0.008,0.024,0.001,-0.045,0.122,0.001,-0.021,0.122,0.003,0.028,0.122,,,
RFESD.13603.7.3,Q8TAC1,RFESD,Rieske domain-containing protein,6,0.032,0.094,0.002,0.041,0.0,0.004,0.06,0.0,0.007,0.078,0.0,0.005,0.066,0.0,,,
NEURL1.13604.27.3,O76050,NEURL1,E3 ubiquitin-protein ligase NEURL1,8,0.024,0.15,0.001,0.036,0.0,0.0,0.005,0.0,0.013,0.125,0.0,0.0,-0.024,0.0,,,
ANXA10.13605.16.3,Q9UJ72,ANXA10,Annexin A10,5,0.021,0.136,0.0,0.026,0.0,0.003,-0.05,0.0,0.0,0.002,0.0,0.003,0.064,0.0,,,
GTF2I.13609.11.3,P78347,GTF2I,General transcription factor II-I,31,0.056,0.233,0.0,0.004,0.0,0.004,-0.049,0.129,0.0,0.016,0.129,0.0,0.007,0.129,,,
MAGEA10.13610.9.3,P43363,MAGEA10,Melanoma-associated antigen 10,9,0.034,0.183,0.001,0.043,0.0,0.0,0.018,0.0,0.002,0.064,0.0,0.006,0.066,0.0,,,
CREBBP.13614.6.3,Q92793,CREBBP,CREB-binding protein,33,0.081,0.21,0.061,0.167,0.0,0.003,0.049,0.424,0.006,0.087,0.424,0.001,0.034,0.424,,,
NCK2.13615.60.3,O43639,NCK2,Cytoplasmic protein NCK2,15,0.03,0.179,0.0,0.009,0.0,0.002,0.058,0.133,0.0,-0.007,0.133,0.002,0.043,0.133,,,
MAD1L1.13618.15.3,Q9Y6D9,MAD1L1,Mitotic spindle assembly checkpoint protein MAD1,4,0.017,0.127,0.004,0.066,0.0,0.002,0.049,0.0,0.001,0.053,0.0,0.023,0.159,0.0,,,
AP2A2.13621.31.3,O94973,AP2A2,AP-2 complex subunit alpha-2,22,0.041,0.187,0.0,0.001,0.0,0.0,0.01,0.091,0.0,0.017,0.091,0.002,0.026,0.091,,,
PPP2R5A.13622.16.3,Q15172,PPP2R5A,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform,2,0.017,0.114,0.0,0.014,0.0,0.001,0.028,0.0,0.0,0.009,0.0,0.006,0.084,0.0,,,
MLL2.13623.4.3,O14686,KMT2D,Histone-lysine N-methyltransferase 2D,151,0.252,0.492,0.034,0.19,0.033,0.002,-0.004,0.218,0.02,0.15,0.218,0.0,0.024,0.218,,,
NADK.13624.17.3,O95544,NADK,NAD kinase,25,0.04,0.198,0.0,-0.024,0.0,0.0,-0.019,0.08,0.001,-0.012,0.08,0.004,-0.068,0.08,,,
GRB14.13628.58.3,Q14449,GRB14,Growth factor receptor-bound protein 14,8,0.021,0.13,0.002,0.042,0.0,0.004,-0.044,0.0,0.022,0.167,0.0,0.001,0.055,0.0,,,
RBBP5.13631.1.3,Q15291,RBBP5,Retinoblastoma-binding protein 5,1,0.011,0.095,0.0,-0.007,0.0,0.001,0.011,0.0,0.0,0.006,0.0,0.002,-0.054,0.0,,,
PIR.13634.209.3,O00625,PIR,Pirin,45,0.228,0.485,0.153,0.388,0.022,0.085,0.286,0.044,0.133,0.365,0.044,0.174,0.42,0.044,,,
BCL6.13640.5.3,P41182,BCL6,B-cell lymphoma 6 protein,1,0.01,0.054,,,,,,,,,,,,,,,
IFIT3.13642.90.3,O14879,IFIT3,Interferon-induced protein with tetratricopeptide repeats 3,19,0.036,0.19,0.001,-0.019,0.0,0.0,0.028,0.105,0.002,0.045,0.105,0.003,0.045,0.105,,,
DHX38.13645.14.3,Q92620,DHX38,Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16,2,0.011,0.117,0.025,0.15,0.0,0.0,0.004,0.0,0.015,0.144,0.0,0.004,0.092,0.0,,,
KCNIP1.13650.11.3,Q9NZI2,KCNIP1,Kv channel-interacting protein 1,7,0.024,0.157,0.004,0.061,0.0,0.017,0.108,0.0,0.002,0.056,0.0,0.012,0.1,0.0,,,
TOM1L1.13652.2.3,O75674,TOM1L1,TOM1-like protein 1,12,0.046,0.203,0.012,0.11,0.0,0.001,0.04,0.0,0.0,0.014,0.0,0.012,0.125,0.0,,,
MACROD1.13653.335.3,Q9BQ69,MACROD1,O-acetyl-ADP-ribose deacetylase MACROD1,2,0.013,0.111,0.002,0.045,0.0,0.004,0.072,0.0,0.002,0.075,0.0,0.021,0.147,0.0,,,
NCL.13655.34.3,P19338,NCL,Nucleolin,6,0.017,0.123,0.0,0.005,0.0,0.0,0.024,0.167,0.001,-0.038,0.167,0.001,-0.034,0.167,,,
PNKP.13657.2.3,Q96T60,PNKP,Bifunctional polynucleotide phosphatase/kinase,12,0.037,0.181,0.002,0.023,0.0,0.002,0.057,0.083,0.0,-0.004,0.083,0.004,0.041,0.083,,,
PPP2R3A.13665.35.3,Q06190,PPP2R3A,Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha,34,0.035,0.189,0.025,0.164,0.059,0.004,0.054,0.265,0.031,0.19,0.265,0.007,0.08,0.265,,,
CA10.13666.222.3,Q9NS85,CA10,Carbonic anhydrase-related protein 10,13,0.065,0.24,0.073,0.262,0.0,0.042,0.189,0.077,0.048,0.227,0.077,0.006,0.075,0.077,,,
FGFR3.13669.6.3,P22607,FGFR3,Fibroblast growth factor receptor 3,6,0.03,0.135,0.012,0.094,0.0,0.001,0.038,0.333,0.004,0.075,0.333,0.003,0.024,0.333,,,
ELANE.13671.40.3,P08246,ELANE,Neutrophil elastase,5,0.023,0.14,0.033,0.176,0.0,0.001,-0.035,0.2,0.012,0.111,0.2,0.001,0.028,0.2,,,
HSPA6.13672.3.3,P17066,HSPA6,Heat shock 70 kDa protein 6,5,0.017,0.128,0.017,0.133,0.0,0.006,0.08,0.0,0.022,0.14,0.0,0.035,0.182,0.0,,,
CFD.13678.169.3,P00746,CFD,Complement factor D,27,0.12,0.356,,,,,,,,,,,,,,,
CSF1R.13682.47.3,P07333,CSF1R,Macrophage colony-stimulating factor 1 receptor,4,0.033,0.104,0.068,0.17,0.0,,,,,,,,,,,,
IL5RA.13686.2.3,Q01344,IL5RA,Interleukin-5 receptor subunit alpha,13,0.074,0.274,0.127,0.355,0.0,0.252,0.519,0.077,0.214,0.466,0.077,0.208,0.444,0.077,,,
BGN.13690.26.3,P21810,BGN,Biglycan,40,0.055,0.199,,,,,,,,,,,,,,,
SLC5A8.13691.10.3,Q8N695,SLC5A8,Sodium-coupled monocarboxylate transporter 1,9,0.044,0.199,0.057,0.225,0.0,0.044,0.224,0.0,0.056,0.234,0.0,0.039,0.189,0.0,,,
WISP1.13692.154.3,O95388,CCN4,WNT1-inducible-signaling pathway protein 1,58,0.229,0.487,0.325,0.572,0.017,0.293,0.542,0.052,0.29,0.529,0.052,0.216,0.45,0.052,,,
CDNF.13693.5.3,Q49AH0,CDNF,Cerebral dopamine neurotrophic factor,1,0.009,0.082,,,,,,,,,,,,,,,
ANXA2.13700.10.3,P07355,ANXA2,Annexin A2,92,0.255,0.479,0.0,0.002,0.033,0.0,0.028,0.109,0.001,0.028,0.109,0.002,0.041,0.109,,,
SPARCL1.13707.27.3,Q14515,SPARCL1,SPARC-like protein 1,1,0.017,0.104,,,,,,,,,,,,,,,
KLK8.13708.56.3,O60259,KLK8,Kallikrein-8,10,0.106,0.17,,,,,,,,,,,,,,,
PAK4.13719.19.3,O96013,PAK4,Serine/threonine-protein kinase PAK 4,4,0.015,0.12,0.0,0.002,0.0,0.003,0.067,0.0,0.0,0.019,0.0,0.01,0.094,0.0,,,
PRTN3.13720.95.3,P24158,PRTN3,Myeloblastin,43,0.178,0.424,0.222,0.472,0.023,0.217,0.492,0.093,0.096,0.314,0.093,0.198,0.445,0.093,,,
FGF16.13725.3.3,O43320,FGF16,Fibroblast growth factor 16,3,0.015,0.091,,,,,,,,,,,,,,,
CTF1.13732.79.3,Q16619,CTF1,Cardiotrophin-1,72,0.254,0.456,,,,,,,,,,,,,,,
RAP1GAP.13735.1.3,P47736,RAP1GAP,Rap1 GTPase-activating protein 1,15,0.032,0.173,0.0,-0.005,0.0,0.001,0.044,0.133,0.001,-0.021,0.133,0.0,0.008,0.133,,,
FRZB.13740.51.3,Q92765,FRZB,Secreted frizzled-related protein 3,74,0.169,0.398,0.204,0.432,0.0,0.074,0.271,0.122,0.1,0.286,0.122,0.074,0.267,0.122,,,
IL3RA.13744.37.3,P26951,IL3RA,Interleukin-3 receptor subunit alpha,110,0.275,0.53,0.215,0.468,0.045,0.046,0.21,0.118,0.158,0.406,0.118,0.107,0.323,0.118,,,
PKD2.13745.10.3,Q13563,PKD2,Polycystin-2,1,0.011,0.107,0.0,-0.013,0.0,0.001,-0.04,0.0,0.002,-0.047,0.0,0.0,0.022,0.0,,,
RMI1.13926.1.3,Q9H9A7,RMI1,RecQ-mediated genome instability protein 1,4,0.023,0.149,0.008,0.09,0.0,0.002,0.042,0.25,0.005,0.084,0.25,0.008,0.077,0.25,,,
CROT.13929.27.3,Q9UKG9,CROT,Peroxisomal carnitine O-octanoyltransferase,3,0.014,0.116,0.115,0.31,0.0,0.077,0.289,0.0,0.077,0.276,0.0,0.103,0.309,0.0,,,
APOBEC3G.13930.3.3,Q9HC16,APOBEC3G,DNA dC->dU-editing enzyme APOBEC-3G,3,0.013,0.114,0.0,-0.001,0.0,0.0,0.005,0.0,0.0,0.02,0.0,0.011,0.102,0.0,,,
PSMD9.13931.22.3,O00233,PSMD9,26S proteasome non-ATPase regulatory subunit 9,2,0.013,0.1,0.001,0.024,0.0,0.001,0.038,0.5,0.001,0.037,0.5,0.001,-0.033,0.5,,,
ARHGEF7.13932.45.3,Q14155,ARHGEF7,Rho guanine nucleotide exchange factor 7,1,0.014,0.069,0.0,0.008,0.0,0.002,-0.048,0.0,0.001,0.024,0.0,0.001,0.038,0.0,,,
UGP2.13939.14.3,Q16851,UGP2,UTP--glucose-1-phosphate uridylyltransferase,1,0.01,0.05,0.0,0.01,0.0,0.0,0.011,0.0,0.004,-0.083,0.0,0.0,,0.0,,,
IFI16.13940.19.3,Q16666,IFI16,Gamma-interferon-inducible protein 16,24,0.041,0.182,0.0,-0.005,0.0,0.001,-0.024,0.083,0.004,0.069,0.083,0.004,0.054,0.083,,,
FARS2.13941.82.3,O95363,FARS2,Phenylalanine--tRNA ligase_ mitochondrial,5,0.03,0.094,0.0,-0.001,0.0,0.001,-0.013,0.0,0.001,-0.036,0.0,0.0,-0.004,0.0,,,
NUDT12.13947.371.3,Q9BQG2,NUDT12,Peroxisomal NADH pyrophosphatase NUDT12,8,0.034,0.142,0.232,0.4,0.0,0.0,0.045,0.0,0.036,0.099,0.0,0.003,0.079,0.0,,,
GABBR2.13948.50.3,O75899,GABBR2,Gamma-aminobutyric acid type B receptor subunit 2,32,0.032,0.169,0.01,0.111,0.812,0.004,0.068,0.594,0.019,0.135,0.594,0.013,0.119,0.594,,,
GNPNAT1.13954.9.3,Q96EK6,GNPNAT1,Glucosamine 6-phosphate N-acetyltransferase,32,0.055,0.237,0.0,-0.002,0.0,0.0,0.007,0.094,0.0,-0.024,0.094,0.004,0.075,0.094,,,
DAPK1.13955.33.3,P53355,DAPK1,Death-associated protein kinase 1,72,0.135,0.35,0.0,-0.004,0.028,0.0,0.028,0.125,0.0,0.019,0.125,0.008,0.051,0.125,,,
LAP3.13959.7.3,P28838,LAP3,Cytosol aminopeptidase,11,0.023,0.134,0.0,0.007,0.0,0.001,0.028,0.091,0.0,-0.021,0.091,0.005,0.073,0.091,,,
TOLLIP.13963.7.3,Q9H0E2,TOLLIP,Toll-interacting protein,16,0.028,0.176,0.0,-0.01,0.0,0.0,0.044,0.125,0.0,0.013,0.125,0.006,0.08,0.125,,,
MYOM3.13966.30.3,Q5VTT5,MYOM3,Myomesin-3,1,0.02,0.126,0.001,0.023,0.0,0.001,-0.03,0.0,0.001,0.023,0.0,0.004,0.064,0.0,,,
TXNRD1.13967.14.3,Q16881,TXNRD1,Thioredoxin reductase 1_ cytoplasmic,35,0.07,0.245,0.0,-0.005,0.0,0.0,0.032,0.086,0.002,-0.032,0.086,0.005,0.056,0.086,,,
HSD17B14.13972.4.3,Q9BPX1,HSD17B14,17-beta-hydroxysteroid dehydrogenase 14,8,0.018,0.133,0.001,0.028,0.125,0.003,0.024,0.25,0.0,-0.013,0.25,0.003,-0.067,0.25,,,
TTL.13973.62.3,Q8NG68,TTL,Tubulin--tyrosine ligase,16,0.034,0.163,0.0,-0.0,0.0,0.001,0.027,0.062,0.002,0.032,0.062,0.002,0.028,0.062,,,
PPFIA1.13975.56.3,Q13136,PPFIA1,Liprin-alpha-1,66,0.114,0.317,0.0,-0.004,0.015,0.0,0.02,0.121,0.0,0.014,0.121,0.007,0.075,0.121,,,
ARHGEF1.13976.9.3,Q92888,ARHGEF1,Rho guanine nucleotide exchange factor 1,11,0.021,0.147,0.0,0.008,0.0,0.0,0.025,0.182,0.0,0.015,0.182,0.012,0.101,0.182,,,
RGS18.13982.33.3,Q9NS28,RGS18,Regulator of G-protein signaling 18,7,0.019,0.124,0.0,0.004,0.0,0.0,0.025,0.143,0.0,-0.004,0.143,0.003,0.054,0.143,,,
CRYZ.13983.27.3,Q08257,CRYZ,Quinone oxidoreductase,91,0.281,0.484,0.359,0.664,0.011,0.079,0.233,0.066,0.211,0.454,0.066,0.179,0.404,0.066,,,
DDX25.13984.23.3,Q9UHL0,DDX25,ATP-dependent RNA helicase DDX25,1,0.009,0.08,0.0,0.002,0.0,0.003,-0.048,0.0,0.001,0.008,0.0,0.001,0.028,0.0,,,
LANCL1.13986.6.3,O43813,LANCL1,LanC-like protein 1,3,0.018,0.13,0.0,0.005,0.0,0.0,-0.009,0.0,0.0,0.011,0.0,0.008,0.081,0.0,,,
NMRAL1.13988.67.3,Q9HBL8,NMRAL1,NmrA-like family domain-containing protein 1,7,0.049,0.214,0.159,0.286,0.0,0.0,0.002,0.143,0.02,0.072,0.143,0.006,0.049,0.143,,,
NSF.13992.12.3,P46459,NSF,Vesicle-fusing ATPase,64,0.029,0.169,0.0,-0.002,0.172,0.0,-0.002,0.172,0.001,-0.041,0.172,0.004,-0.056,0.172,,,
DOCK9.14002.18.3,Q9BZ29,DOCK9,Dedicator of cytokinesis protein 9,15,0.037,0.181,0.006,0.082,0.067,0.002,0.049,0.133,0.006,0.064,0.133,0.0,-0.002,0.133,,,
GNMT.14006.36.3,Q14749,GNMT,Glycine N-methyltransferase,19,0.07,0.272,0.077,0.282,0.0,0.062,0.226,0.053,0.077,0.298,0.053,0.032,0.176,0.053,,,
S100A11.14011.17.3,P31949,S100A11,Protein S100-A11,58,0.098,0.291,0.0,0.003,0.017,0.001,0.026,0.086,0.0,0.02,0.086,0.004,0.08,0.086,,,
DHX58.14012.17.3,Q96C10,DHX58,Probable ATP-dependent RNA helicase DHX58,2,0.012,0.095,0.0,-0.004,0.0,0.0,0.036,0.5,0.0,0.017,0.5,0.014,0.108,0.5,,,
TANK.14013.11.3,Q92844,TANK,TRAF family member-associated NF-kappa-B activator,1,0.012,0.069,0.0,0.003,0.0,0.0,,0.0,0.0,0.008,0.0,0.0,,0.0,,,
MED4.14021.81.3,Q9NPJ6,MED4,Mediator of RNA polymerase II transcription subunit 4,18,0.073,0.262,0.1,0.305,0.0,0.137,0.383,0.0,0.061,0.258,0.0,0.091,0.313,0.0,,,
IBSP.14023.84.3,P21815,IBSP,Bone sialoprotein 2,18,0.062,0.236,,,,,,,,,,,,,,,
EDA.14024.196.3,Q92838,EDA,Ectodysplasin-A_ secreted form,2,0.014,0.118,0.0,0.016,0.0,,,,,,,,,,,,
PIK3C2A.14028.22.3,O00443,PIK3C2A,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha,8,0.044,0.207,0.015,0.135,0.0,0.003,0.063,0.375,0.006,0.08,0.375,0.027,0.172,0.375,,,
COPS2.14029.42.3,P61201,COPS2,COP9 signalosome complex subunit 2,62,0.184,0.422,0.015,0.117,0.032,0.002,0.044,0.016,0.067,0.239,0.016,0.039,0.192,0.016,,,
TNFSF4.14030.21.3,P23510,TNFSF4,Tumor necrosis factor ligand superfamily member 4,2,0.017,0.109,,,,,,,,,,,,,,,
FGF7.14031.18.3,P21781,FGF7,Fibroblast growth factor 7,14,0.061,0.235,,,,,,,,,,,,,,,
VEGFA.14032.2.3,P15692,VEGFA,Vascular endothelial growth factor A_ isoform 121,44,0.27,0.528,,,,,,,,,,,,,,,
TACSTD2.14034.22.3,P09758,TACSTD2,Tumor-associated calcium signal transducer 2,1,0.014,0.104,0.0,0.005,0.0,0.0,-0.022,0.0,0.004,-0.056,0.0,0.0,0.018,0.0,,,
RANBP3.14037.18.3,Q9H6Z4,RANBP3,Ran-binding protein 3,1,0.013,0.106,0.0,0.005,0.0,0.0,0.036,0.0,0.0,-0.022,0.0,0.005,0.067,0.0,,,
GZMB.14041.13.3,P10144,GZMB,Granzyme B,91,0.331,0.535,,,,,,,,,,,,,,,
EEA1.14043.12.3,Q15075,EEA1,Early endosome antigen 1,1,0.014,0.105,0.0,0.016,0.0,0.0,-0.015,0.0,0.003,0.039,0.0,0.002,0.053,0.0,,,
NCOA2.14045.12.3,Q15596,NCOA2,Nuclear receptor coactivator 2,25,0.023,0.134,0.009,0.107,0.88,0.021,0.147,0.76,0.007,0.099,0.76,0.023,0.128,0.76,,,
IL1RAP.14048.7.3,Q9NPH3,IL1RAP,Interleukin-1 Receptor accessory protein,54,0.478,0.643,0.558,0.688,0.0,0.134,0.358,0.241,0.311,0.476,0.241,0.174,0.352,0.241,,,
IL7.14049.17.3,P13232,IL7,Interleukin-7,1,0.012,0.098,,,,,,,,,,,,,,,
IL15RA.14054.17.3,Q13261,IL15RA,Interleukin-15 receptor subunit alpha,41,0.212,0.46,0.129,0.36,0.0,0.111,0.314,0.073,0.078,0.271,0.073,0.096,0.289,0.073,,,
NCF4.14060.67.3,Q15080,NCF4,Neutrophil cytosol factor 4,11,0.018,0.133,0.0,0.01,0.0,0.001,0.042,0.091,0.002,0.045,0.091,0.0,-0.003,0.091,,,
CCL25.14068.29.3,O15444,CCL25,C-C motif chemokine 25,54,0.122,0.341,,,,,,,,,,,,,,,
ITSN1.14070.56.3,Q15811,ITSN1,Intersectin-1,4,0.02,0.144,0.006,0.08,0.0,0.0,0.007,0.0,0.007,0.088,0.0,0.006,0.107,0.0,,,
TPT1.14072.9.3,P13693,TPT1,Translationally-controlled tumor protein,5,0.016,0.112,,,,,,,,,,,,,,,
CST4.14076.74.3,P01036,CST4,Cystatin-S,39,0.082,0.271,0.069,0.255,0.0,0.028,0.154,0.128,0.05,0.189,0.128,0.046,0.22,0.128,,,
XCL1.14078.69.3,P47992,XCL1,Lymphotactin,21,0.069,0.268,,,,,,,,,,,,,,,
IL18R1.14079.14.3,Q13478,IL18R1,Interleukin-18 receptor 1,94,0.166,0.425,0.182,0.432,0.011,0.182,0.417,0.064,0.215,0.463,0.064,0.21,0.438,0.064,,,
TLN2.14082.56.3,Q9Y4G6,TLN2,Talin-2,10,0.019,0.14,0.0,-0.004,0.0,0.001,0.054,0.1,0.0,-0.027,0.1,0.002,0.049,0.1,,,
SEPHS1.14083.25.3,P49903,SEPHS1,Selenide_ water dikinase 1,41,0.078,0.263,0.0,0.001,0.0,0.0,0.021,0.122,0.0,-0.001,0.122,0.003,0.032,0.122,,,
SMPDL3A.14086.11.3,Q92484,SMPDL3A,Acid sphingomyelinase-like phosphodiesterase 3a,79,0.377,0.579,,,,,,,,,,,,,,,
EPHA5.14089.41.3,P54756,EPHA5,Ephrin type-A receptor 5,5,0.016,0.11,,,,,,,,,,,,,,,
DEF6.14090.23.3,Q9H4E7,DEF6,Differentially expressed in FDCP 6 homolog,22,0.048,0.199,0.0,-0.004,0.0,0.0,0.026,0.136,0.0,0.003,0.136,0.006,0.07,0.136,,,
CBR3.14091.42.3,O75828,CBR3,Carbonyl reductase [NADPH] 3,101,0.272,0.503,0.143,0.369,0.01,0.117,0.314,0.089,0.085,0.277,0.089,0.073,0.247,0.089,,,
HBEGF.14094.29.3,Q99075,HBEGF,Heparin-binding EGF-like growth factor,10,0.035,0.185,0.024,0.15,0.0,0.007,0.075,0.1,0.036,0.184,0.1,0.014,0.107,0.1,,,
CHST15.14097.86.3,Q7LFX5,CHST15,Carbohydrate sulfotransferase 15,10,0.044,0.219,,,,,,,,,,,,,,,
C1QC.14100.63.3,P02747,C1QC,Complement C1q subcomponent subunit C,59,0.215,0.428,0.174,0.394,0.017,0.121,0.358,0.085,0.157,0.406,0.085,0.152,0.383,0.085,,,
CNTFR.14101.2.3,P26992,CNTFR,Ciliary neurotrophic factor receptor subunit alpha,4,0.017,0.092,0.025,0.11,0.0,0.18,0.437,0.0,0.059,0.216,0.0,0.129,0.33,0.0,,,
TPSG1.14103.12.3,Q9NRR2,TPSG1,Tryptase gamma,4,0.018,0.125,,,,,,,,,,,,,,,
SERPINA4.14105.5.3,P29622,SERPINA4,Kallistatin,25,0.141,0.363,,,,,,,,,,,,,,,
MTHFS.14107.1.3,P49914,MTHFS,5-formyltetrahydrofolate cyclo-ligase,74,0.184,0.41,0.038,0.195,0.027,0.0,-0.016,0.122,0.002,0.066,0.122,0.008,0.082,0.122,,,
CCL15.14109.15.3,Q16663,CCL15,C-C motif chemokine 15,83,0.409,0.521,,,,,,,,,,,,,,,
SPARC.14110.200.3,P09486,SPARC,SPARC,7,0.022,0.147,,,,,,,,,,,,,,,
RELT.14112.40.3,Q969Z4,RELT,Tumor necrosis factor receptor superfamily member 19L,9,0.031,0.18,0.003,0.054,0.0,0.001,-0.012,0.111,0.001,0.082,0.111,0.005,0.071,0.111,,,
PIANP.14114.18.3,Q8IYJ0,PIANP,PILR alpha-associated neural protein,2,0.017,0.133,0.01,0.109,0.0,0.006,0.086,0.0,0.001,0.045,0.0,0.002,0.066,0.0,0.001,0.027,0.0
ADM.14115.34.3,P35318,ADM,Adrenomedullin,13,0.078,0.273,0.003,0.054,0.0,0.0,0.0,0.0,0.0,-0.018,0.0,0.013,0.11,0.0,0.009,0.127,0.231
S100A4.14116.129.3,P26447,S100A4,Protein S100-A4,36,0.074,0.254,0.001,0.023,0.0,0.001,0.026,0.111,0.0,0.012,0.111,0.0,-0.003,0.111,0.014,0.126,0.361
RNF43.14120.2.3,Q68DV7,RNF43,E3 ubiquitin-protein ligase RNF43,1,0.01,0.103,0.002,0.045,0.0,0.001,0.02,0.0,0.007,0.106,0.0,0.002,0.048,0.0,0.001,-0.007,0.0
ZNRF3.14122.132.3,Q9ULT6,ZNRF3,E3 ubiquitin-protein ligase ZNRF3,2,0.012,0.096,,,,,,,,,,,,,,,
C10orf54.14123.34.3,Q9H7M9,VSIR,V-type immunoglobulin domain-containing suppressor of T-cell activation,4,0.019,0.141,0.152,0.343,0.0,0.249,0.497,0.0,0.135,0.326,0.0,0.204,0.435,0.0,0.011,0.116,0.0
