"PheCode","Phenotype","Category","Trait ID","Platform","Trait Description","Hazard Ratio","FDR adjusted P-value"
"290.1","Dementias","mental disorders","shdlc","Nightingale","Cholesterol in small HDL","1.25 (1.20 1.29)","2.58E-31"
"290.1","Dementias","mental disorders","idltg","Nightingale","Triglycerides in IDL","1.23 (1.19 1.28)","1.98E-30"
"290.1","Dementias","mental disorders","lldltg","Nightingale","Triglycerides in large LDL","1.23 (1.19 1.28)","2.43E-30"
"290.1","Dementias","mental disorders","sfa","Nightingale","Saturated fatty acids","1.23 (1.19 1.28)","5.40E-30"
"290.1","Dementias","mental disorders","shdlpl","Nightingale","Phospholipids in small HDL","0.81 (0.78 0.84)","7.25E-29"
"290.1","Dementias","mental disorders","svldlc","Nightingale","Cholesterol in small VLDL","1.23 (1.19 1.27)","2.47E-28"
"290.1","Dementias","mental disorders","mufa","Nightingale","Monounsaturated fatty acids","1.22 (1.18 1.26)","5.45E-27"
"290.1","Dementias","mental disorders","faw3","Nightingale","Omega-3 fatty acids","1.22 (1.18 1.26)","7.55E-26"
"290.1","Dementias","mental disorders","mhdlce","Nightingale","Cholesteryl esters in medium HDL","0.83 (0.80 0.86)","2.83E-22"
"290.1","Dementias","mental disorders","svldll","Nightingale","Total lipids in small VLDL","1.20 (1.16 1.24)","4.15E-22"
"290.1","Dementias","mental disorders","mhdll","Nightingale","Total lipids in medium HDL","0.83 (0.81 0.86)","8.38E-22"
"290.1","Dementias","mental disorders","mhdlc","Nightingale","Cholesterol in medium HDL","0.84 (0.81 0.87)","1.89E-20"
"290.1","Dementias","mental disorders","sm","Nightingale","Sphingomyelins","1.19 (1.15 1.24)","3.83E-20"
"290.1","Dementias","mental disorders","lhdlc","Nightingale","Cholesterol in large HDL","0.84 (0.81 0.87)","9.97E-20"
"290.1","Dementias","mental disorders","xsvldltg","Nightingale","Triglycerides in very small VLDL","1.18 (1.14 1.23)","1.99E-19"
"290.1","Dementias","mental disorders","svldlfc","Nightingale","Free cholesterol in small VLDL","1.18 (1.14 1.22)","9.02E-19"
"290.1","Dementias","mental disorders","serumtg","Nightingale","Total triglycerides","1.18 (1.14 1.22)","2.85E-18"
"290.1","Dementias","mental disorders","dha","Nightingale","Docosahexaenoic acid","1.18 (1.14 1.22)","3.38E-18"
"290.1","Dementias","mental disorders","svldlp","Nightingale","Concentration of small VLDL particles","1.17 (1.13 1.22)","1.70E-17"
"290.1","Dementias","mental disorders","mvldlpl","Nightingale","Phospholipids in medium VLDL","1.17 (1.13 1.22)","1.76E-17"
"290.1","Dementias","mental disorders","lhdlce","Nightingale","Cholesteryl esters in large HDL","0.85 (0.82 0.88)","2.90E-17"
"290.1","Dementias","mental disorders","mvldlc","Nightingale","Cholesterol in medium VLDL","1.17 (1.13 1.21)","9.63E-17"
"290.1","Dementias","mental disorders","mvldlce","Nightingale","Cholesteryl esters in medium VLDL","1.17 (1.13 1.21)","1.73E-16"
"290.1","Dementias","mental disorders","mhdlfc","Nightingale","Free cholesterol in medium HDL","0.85 (0.82 0.88)","1.96E-16"
"290.1","Dementias","mental disorders","svldlpl","Nightingale","Phospholipids in small VLDL","1.17 (1.13 1.21)","7.18E-16"
"290.1","Dementias","mental disorders","lhdlp","Nightingale","Concentration of large HDL particles","0.86 (0.83 0.89)","2.00E-15"
"290.1","Dementias","mental disorders","lhdlpl","Nightingale","Phospholipids in large HDL","0.86 (0.83 0.89)","3.14E-15"
"290.1","Dementias","mental disorders","mhdlp","Nightingale","Concentration of medium HDL particles","0.86 (0.83 0.89)","4.50E-15"
"290.1","Dementias","mental disorders","lhdll","Nightingale","Total lipids in large HDL","0.86 (0.83 0.89)","5.15E-15"
"290.1","Dementias","mental disorders","mvldll","Nightingale","Total lipids in medium VLDL","1.16 (1.12 1.20)","5.31E-15"
"290.1","Dementias","mental disorders","lhdlfc","Nightingale","Free cholesterol in large HDL","0.86 (0.83 0.89)","1.39E-14"
"290.1","Dementias","mental disorders","svldltg","Nightingale","Triglycerides in small VLDL","1.15 (1.11 1.19)","8.14E-14"
"290.1","Dementias","mental disorders","totcho","Nightingale","Total cholines","1.15 (1.11 1.19)","1.67E-12"
"290.1","Dementias","mental disorders","pc","Nightingale","Phosphatidylcholines","1.14 (1.10 1.18)","1.34E-11"
"290.1","Dementias","mental disorders","shdlfc","Nightingale","Free cholesterol in small HDL","0.87 (0.84 0.91)","1.36E-11"
"290.1","Dementias","mental disorders","mhdlpl","Nightingale","Phospholipids in medium HDL","0.88 (0.85 0.91)","9.15E-11"
"290.1","Dementias","mental disorders","mvldlfc","Nightingale","Free cholesterol in medium VLDL","1.13 (1.09 1.17)","2.19E-10"
"290.1","Dementias","mental disorders","xxlvldlce","Nightingale","Cholesteryl esters in chylomicrons and extremely large VLDL","1.13 (1.10 1.18)","2.34E-10"
"290.1","Dementias","mental disorders","totpg","Nightingale","Phosphoglycerides","1.13 (1.09 1.17)","4.57E-10"
"290.1","Dementias","mental disorders","mvldlp","Nightingale","Concentration of medium VLDL particles","1.13 (1.09 1.17)","9.06E-10"
"290.1","Dementias","mental disorders","xxlvldltg","Nightingale","Triglycerides in chylomicrons and extremely large VLDL","1.13 (1.09 1.17)","1.20E-9"
"290.1","Dementias","mental disorders","lvldlfc","Nightingale","Free cholesterol in large VLDL","1.12 (1.09 1.16)","4.30E-9"
"290.1","Dementias","mental disorders","lvldlpl","Nightingale","Phospholipids in large VLDL","1.12 (1.08 1.16)","6.73E-9"
"290.1","Dementias","mental disorders","xxlvldlp","Nightingale","Concentration of chylomicrons and extremely large VLDL particles","1.12 (1.08 1.16)","9.19E-9"
"290.1","Dementias","mental disorders","hdld","Nightingale","Average diameter for HDL particles","0.89 (0.86 0.93)","3.37E-8"
"290.1","Dementias","mental disorders","vldltg","Nightingale","Triglycerides in VLDL","1.11 (1.08 1.15)","8.09E-8"
"290.1","Dementias","mental disorders","xxlvldll","Nightingale","Total lipids in chylomicrons and extremely large VLDL","1.12 (1.08 1.16)","1.00E-7"
"290.1","Dementias","mental disorders","mvldltg","Nightingale","Triglycerides in medium VLDL","1.11 (1.08 1.15)","1.06E-7"
"290.1","Dementias","mental disorders","lvldlce","Nightingale","Cholesteryl esters in large VLDL","1.11 (1.08 1.15)","1.49E-7"
"290.1","Dementias","mental disorders","xlvldlpl","Nightingale","Phospholipids in very large VLDL","1.11 (1.07 1.15)","2.76E-7"
"290.1","Dementias","mental disorders","xxlvldlc","Nightingale","Cholesterol in chylomicrons and extremely large VLDL","1.11 (1.07 1.15)","1.28E-6"
"290.1","Dementias","mental disorders","xlvldlc","Nightingale","Cholesterol in very large VLDL","1.11 (1.07 1.15)","1.39E-6"
"290.1","Dementias","mental disorders","xlvldlfc","Nightingale","Free cholesterol in very large VLDL","1.10 (1.07 1.14)","3.03E-6"
"290.1","Dementias","mental disorders","hdlc","Nightingale","HDL cholesterol","0.91 (0.88 0.94)","3.56E-6"
"290.1","Dementias","mental disorders","xxlvldlpl","Nightingale","Phospholipids in chylomicrons and extremely large VLDL","1.10 (1.06 1.14)","4.76E-6"
"290.1","Dementias","mental disorders","gp","Nightingale","Glycoprotein acetyls","1.10 (1.06 1.14)","5.44E-6"
"290.1","Dementias","mental disorders","lvldll","Nightingale","Total lipids in large VLDL","1.10 (1.06 1.14)","6.80E-6"
"290.1","Dementias","mental disorders","lvldlc","Nightingale","Cholesterol in large VLDL","1.10 (1.06 1.14)","7.23E-6"
"290.1","Dementias","mental disorders","lvldlp","Nightingale","Concentration of large VLDL particles","1.10 (1.06 1.14)","8.33E-6"
"290.1","Dementias","mental disorders","shdltg","Nightingale","Triglycerides in small HDL","1.10 (1.06 1.14)","1.21E-5"
"290.1","Dementias","mental disorders","lvldltg","Nightingale","Triglycerides in large VLDL","1.10 (1.06 1.14)","1.25E-5"
"290.1","Dementias","mental disorders","xlvldlce","Nightingale","Cholesteryl esters in very large VLDL","1.09 (1.06 1.13)","3.93E-5"
"290.1","Dementias","mental disorders","xlvldlp","Nightingale","Concentration of very large VLDL particles","1.09 (1.06 1.13)","4.06E-5"
"290.1","Dementias","mental disorders","xlvldll","Nightingale","Total lipids in very large VLDL","1.09 (1.05 1.13)","1.57E-4"
"290.1","Dementias","mental disorders","xlvldltg","Nightingale","Triglycerides in very large VLDL","1.09 (1.05 1.13)","1.64E-4"
"290.1","Dementias","mental disorders","xlhdlpl","Nightingale","Phospholipids in very large HDL","0.93 (0.90 0.96)","3.14E-3"
"290.1","Dementias","mental disorders","xxlvldlfc","Nightingale","Free cholesterol in chylomicrons and extremely large VLDL","1.07 (1.04 1.11)","5.21E-3"
"290.1","Dementias","mental disorders","ENSG00000130204","RNAseq","TOMM40","1.26 (1.21 1.30)","1.14E-33"
"290.1","Dementias","mental disorders","ENSG00000186567","RNAseq","CEACAM19","1.10 (1.06 1.14)","3.17E-5"
"290.1","Dementias","mental disorders","ENSG00000282885","RNAseq","AL627171.4","0.93 (0.90 0.96)","8.90E-4"
"290.1","Dementias","mental disorders","ENSG00000105254","RNAseq","TBCB","1.07 (1.03 1.10)","2.92E-3"
"290.1","Dementias","mental disorders","ENSG00000177628","RNAseq","GBA","1.06 (1.03 1.09)","5.84E-3"
"290.1","Dementias","mental disorders","ENSG00000143537","RNAseq","ADAM15","1.07 (1.03 1.11)","1.52E-2"
"290.1","Dementias","mental disorders","ENSG00000114446","RNAseq","IFT57","1.07 (1.03 1.10)","1.69E-2"
"290.1","Dementias","mental disorders","ENSG00000283361","RNAseq","CFAP97D2","0.94 (0.90 0.97)","1.74E-2"
"290.1","Dementias","mental disorders","ENSG00000279500","RNAseq","AC108704.2","1.07 (1.03 1.10)","1.89E-2"
"290.1","Dementias","mental disorders","ENSG00000100003","RNAseq","SEC14L2","0.94 (0.90 0.97)","2.16E-2"
"290.1","Dementias","mental disorders","ENSG00000064687","RNAseq","ABCA7","0.94 (0.91 0.97)","2.18E-2"
"290.1","Dementias","mental disorders","ENSG00000146376","RNAseq","ARHGAP18","0.94 (0.91 0.97)","2.35E-2"
"290.1","Dementias","mental disorders","ENSG00000005812","RNAseq","FBXL3","1.07 (1.03 1.11)","2.47E-2"
"290.1","Dementias","mental disorders","ENSG00000100280","RNAseq","AP1B1","0.94 (0.91 0.97)","3.00E-2"
"290.1","Dementias","mental disorders","ENSG00000279672","RNAseq","AP006621.5","0.94 (0.91 0.97)","3.13E-2"
"290.1","Dementias","mental disorders","ENSG00000167680","RNAseq","SEMA6B","1.06 (1.02 1.09)","3.96E-2"
"290.11","Alzheimer's disease","mental disorders","LRRN1.11293.14.3","SomaScan","Leucine-rich repeat neuronal protein 1","2.00 (1.93 2.07)","<1E-307"
"290.11","Alzheimer's disease","mental disorders","YWHAE.8387.33.3","SomaScan","14-3-3 protein epsilon","2.04 (1.97 2.12)","<1E-307"
"290.11","Alzheimer's disease","mental disorders","CPE.5343.74.3","SomaScan","Carboxypeptidase E","1.99 (1.92 2.06)","<1E-307"
"290.11","Alzheimer's disease","mental disorders","DCK.9836.20.3","SomaScan","Deoxycytidine kinase","1.94 (1.87 2.00)","<1E-307"
"290.11","Alzheimer's disease","mental disorders","KIR2DL5A.7799.3.3","SomaScan","Killer cell immunoglobulin-like receptor 2DL5A","1.99 (1.92 2.06)","<1E-307"
"290.11","Alzheimer's disease","mental disorders","TJP1.12001.7.3","SomaScan","Tight junction protein ZO-1","1.97 (1.90 2.04)","<1E-307"
"290.11","Alzheimer's disease","mental disorders","MSN.5009.11.1","SomaScan","Moesin","2.01 (1.94 2.08)","<1E-307"
"290.11","Alzheimer's disease","mental disorders","CTF1.13732.79.3","SomaScan","Cardiotrophin-1","2.23 (2.14 2.33)","5.13E-294"
"290.11","Alzheimer's disease","mental disorders","IL22RA1.3620.67.2","SomaScan","Interleukin-22 receptor subunit alpha-1","2.46 (2.34 2.59)","1.71E-271"
"290.11","Alzheimer's disease","mental disorders","TBCA.12501.10.3","SomaScan","Tubulin-specific chaperone A","0.51 (0.49 0.53)","4.01E-271"
"290.11","Alzheimer's disease","mental disorders","NRBP1.12616.45.3","SomaScan","Nuclear receptor-binding protein","2.35 (2.24 2.46)","1.25E-264"
"290.11","Alzheimer's disease","mental disorders","TOMM20L.10817.26.3","SomaScan","TOMM20-like protein 1","2.14 (2.04 2.23)","8.48E-253"
"290.11","Alzheimer's disease","mental disorders","NAPB.12655.30.3","SomaScan","Beta-soluble NSF attachment protein","1.97 (1.89 2.05)","1.06E-252"
"290.11","Alzheimer's disease","mental disorders","ARL1.12392.30.3","SomaScan","ADP-ribosylation factor-like protein 1","0.54 (0.52 0.56)","2.92E-245"
"290.11","Alzheimer's disease","mental disorders","TREML1.11147.17.3","SomaScan","Trem-like transcript 1 protein","1.58 (1.54 1.63)","2.29E-242"
"290.11","Alzheimer's disease","mental disorders","POLR1C.12939.1.3","SomaScan","DNA-directed RNA polymerases I and III subunit RPAC1","2.22 (2.12 2.33)","2.41E-241"
"290.11","Alzheimer's disease","mental disorders","C5orf38.6378.2.3","SomaScan","Protein CEI","2.39 (2.27 2.52)","2.84E-239"
"290.11","Alzheimer's disease","mental disorders","PSD.13055.53.3","SomaScan","PH and SEC7 domain-containing protein 1","1.88 (1.81 1.95)","3.81E-239"
"290.11","Alzheimer's disease","mental disorders","LCN10.13007.66.3","SomaScan","Epididymal-specific lipocalin-10","2.16 (2.06 2.26)","2.44E-232"
"290.11","Alzheimer's disease","mental disorders","SNRPF.5494.52.3","SomaScan","Small nuclear ribonucleoprotein F","0.52 (0.50 0.55)","6.05E-220"
"290.11","Alzheimer's disease","mental disorders","GSTM1.7239.9.3","SomaScan","Glutathione S-transferase Mu 1","1.81 (1.74 1.88)","6.10E-213"
"290.11","Alzheimer's disease","mental disorders","APOB.2797.56.2","SomaScan","Apolipoprotein B","2.37 (2.24 2.50)","7.74E-207"
"290.11","Alzheimer's disease","mental disorders","MENT.5744.12.3","SomaScan","Protein MENT","1.85 (1.78 1.93)","8.94E-207"
"290.11","Alzheimer's disease","mental disorders","S100A13.7223.60.3","SomaScan","Protein S100-A13","0.55 (0.53 0.58)","3.61E-188"
"290.11","Alzheimer's disease","mental disorders","CSNK1D.11289.31.3","SomaScan","Casein kinase I isoform delta","0.57 (0.55 0.60)","1.61E-169"
"290.11","Alzheimer's disease","mental disorders","CSDC2.12754.14.3","SomaScan","Cold shock domain-containing protein C2","1.71 (1.65 1.78)","1.35E-160"
"290.11","Alzheimer's disease","mental disorders","SNX7.14245.195.3","SomaScan","Sorting nexin-7","2.28 (2.14 2.42)","5.43E-154"
"290.11","Alzheimer's disease","mental disorders","VIMP.11286.78.3","SomaScan","Selenoprotein S","2.43 (2.27 2.59)","3.25E-148"
"290.11","Alzheimer's disease","mental disorders","LRP1B.7640.29.3","SomaScan","Low-density lipoprotein receptor-related protein 1B","1.94 (1.85 2.04)","1.32E-145"
"290.11","Alzheimer's disease","mental disorders","DEFB119.8370.102.3","SomaScan","Beta-defensin 119","1.82 (1.74 1.90)","1.43E-143"
"290.11","Alzheimer's disease","mental disorders","RFNG.7203.125.3","SomaScan","Beta-1,3-N-acetylglucosaminyltransferase radical fringe","0.63 (0.60 0.65)","9.13E-133"
"290.11","Alzheimer's disease","mental disorders","SULT1E1.9878.3.3","SomaScan","Estrogen sulfotransferase","0.56 (0.53 0.58)","6.63E-128"
"290.11","Alzheimer's disease","mental disorders","ZNF276.14692.3.3","SomaScan","Zinc finger protein 276","1.78 (1.70 1.87)","1.27E-125"
"290.11","Alzheimer's disease","mental disorders","MMP3.2788.55.1","SomaScan","Stromelysin-1","2.40 (2.23 2.57)","4.90E-123"
"290.11","Alzheimer's disease","mental disorders","CDC25B.12427.8.3","SomaScan","M-phase inducer phosphatase 2","1.68 (1.61 1.75)","5.93E-118"
"290.11","Alzheimer's disease","mental disorders","STIM1.9271.101.3","SomaScan","Stromal interaction molecule 1","1.66 (1.59 1.73)","4.80E-114"
"290.11","Alzheimer's disease","mental disorders","C14orf93.6439.59.3","SomaScan","Uncharacterized protein C14orf93","2.22 (2.07 2.39)","5.71E-102"
"290.11","Alzheimer's disease","mental disorders","APOE.2418.55.9","SomaScan","Apolipoprotein E","2.13 (1.99 2.29)","3.25E-96"
"290.11","Alzheimer's disease","mental disorders","MMP8.9172.69.3","SomaScan","Neutrophil collagenase","1.61 (1.54 1.69)","6.04E-92"
"290.11","Alzheimer's disease","mental disorders","CRP.4337.49.2","SomaScan","C-reactive protein","0.64 (0.61 0.67)","3.69E-85"
"290.11","Alzheimer's disease","mental disorders","ADGRF1.11243.90.3","SomaScan","Adhesion G-protein coupled receptor F1","1.55 (1.48 1.62)","7.86E-80"
"290.11","Alzheimer's disease","mental disorders","DMKN.5963.9.3","SomaScan","Dermokine","0.59 (0.56 0.62)","1.08E-79"
"290.11","Alzheimer's disease","mental disorders","SKIL.14670.1.3","SomaScan","Ski-like protein","1.44 (1.38 1.50)","2.56E-63"
"290.11","Alzheimer's disease","mental disorders","RAB14.14283.12.3","SomaScan","Ras-related protein Rab-14","0.68 (0.65 0.72)","9.15E-61"
"290.11","Alzheimer's disease","mental disorders","MAN2B2.9251.28.3","SomaScan","Epididymis-specific alpha-mannosidase","1.45 (1.38 1.51)","2.54E-57"
"290.11","Alzheimer's disease","mental disorders","CUZD1.7943.16.3","SomaScan","CUB and zona pellucida-like domain-containing protein 1","0.74 (0.71 0.77)","1.21E-51"
"290.11","Alzheimer's disease","mental disorders","VPS29.14318.1.3","SomaScan","Vacuolar protein sorting-associated protein 29","0.51 (0.46 0.55)","2.90E-50"
"290.11","Alzheimer's disease","mental disorders","PLA2G7.5015.15.1","SomaScan","Platelet-activating factor acetylhydrolase","1.39 (1.33 1.46)","1.42E-47"
"290.11","Alzheimer's disease","mental disorders","CKAP2.5345.51.3","SomaScan","Cytoskeleton-associated protein 2","0.70 (0.67 0.74)","1.44E-42"
"290.11","Alzheimer's disease","mental disorders","IFIT2.9853.3.3","SomaScan","Interferon-induced protein with tetratricopeptide repeats 2","0.72 (0.68 0.75)","2.94E-39"
"290.11","Alzheimer's disease","mental disorders","TOM1L1.13652.2.3","SomaScan","TOM1-like protein 1","0.77 (0.73 0.80)","3.87E-33"
"290.11","Alzheimer's disease","mental disorders","VARS.13083.18.3","SomaScan","Valine--tRNA ligase","1.30 (1.25 1.36)","9.67E-32"
"290.11","Alzheimer's disease","mental disorders","DUSP26.8967.6.3","SomaScan","Dual specificity protein phosphatase 26","1.56 (1.45 1.68)","4.51E-31"
"290.11","Alzheimer's disease","mental disorders","AKT2.14685.17.3","SomaScan","RAC-beta serine/threonine-protein kinase","1.40 (1.33 1.49)","9.81E-30"
"290.11","Alzheimer's disease","mental disorders","USP21.12681.63.3","SomaScan","Ubiquitin carboxyl-terminal hydrolase 21","1.28 (1.23 1.34)","4.15E-29"
"290.11","Alzheimer's disease","mental disorders","FURIN.6276.16.3","SomaScan","Furin","1.26 (1.21 1.32)","3.66E-25"
"290.11","Alzheimer's disease","mental disorders","KMT2C.11402.17.3","SomaScan","Histone-lysine N-methyltransferase 2C","0.71 (0.66 0.76)","3.54E-22"
"290.11","Alzheimer's disease","mental disorders","NEURL4.13468.5.3","SomaScan","Neuralized-like protein 4","1.41 (1.32 1.51)","7.88E-22"
"290.11","Alzheimer's disease","mental disorders","PSME1.5918.5.3","SomaScan","Proteasome activator complex subunit 1","0.75 (0.71 0.79)","5.63E-21"
"290.11","Alzheimer's disease","mental disorders","CDHR5.9962.1.3","SomaScan","Cadherin-related family member 5","1.36 (1.28 1.45)","1.57E-18"
"290.11","Alzheimer's disease","mental disorders","PSG5.9314.9.3","SomaScan","Pregnancy-specific beta-1-glycoprotein 5","1.26 (1.20 1.32)","3.34E-18"
"290.11","Alzheimer's disease","mental disorders","SURF1.8009.121.3","SomaScan","Surfeit locus protein 1","1.20 (1.16 1.25)","1.37E-17"
"290.11","Alzheimer's disease","mental disorders","HDAC8.2859.69.2","SomaScan","Histone deacetylase 8","1.20 (1.16 1.25)","4.29E-17"
"290.11","Alzheimer's disease","mental disorders","APBB2.12753.6.3","SomaScan","Amyloid beta A4 precursor protein-binding family B member 2","0.76 (0.72 0.81)","8.51E-17"
"290.11","Alzheimer's disease","mental disorders","GNAI3.12650.43.3","SomaScan","Guanine nucleotide-binding protein G(k) subunit alpha","0.78 (0.74 0.83)","2.30E-16"
"290.11","Alzheimer's disease","mental disorders","COPS7B.12384.92.3","SomaScan","COP9 signalosome complex subunit 7b","1.21 (1.16 1.26)","1.68E-15"
"290.11","Alzheimer's disease","mental disorders","TNFRSF13C.5383.14.3","SomaScan","Tumor necrosis factor receptor superfamily member 13C","1.20 (1.15 1.25)","2.08E-14"
"290.11","Alzheimer's disease","mental disorders","COLEC10.6558.5.3","SomaScan","Collectin-10","0.81 (0.77 0.85)","2.32E-14"
"290.11","Alzheimer's disease","mental disorders","MED4.14021.81.3","SomaScan","Mediator of RNA polymerase II transcription subunit 4","1.20 (1.15 1.25)","3.86E-14"
"290.11","Alzheimer's disease","mental disorders","CD200R1L.8980.19.3","SomaScan","Cell surface glycoprotein CD200 receptor 2","0.79 (0.74 0.84)","2.30E-13"
"290.11","Alzheimer's disease","mental disorders","AIMP1.2714.78.2","SomaScan","Endothelial monocyte-activating polypeptide 2","1.18 (1.13 1.23)","3.08E-12"
"290.11","Alzheimer's disease","mental disorders","DEAF1.6369.82.3","SomaScan","Deformed epidermal autoregulatory factor 1 homolog","1.19 (1.13 1.24)","7.04E-12"
"290.11","Alzheimer's disease","mental disorders","CSF3.4840.73.1","SomaScan","Granulocyte colony-stimulating factor","1.17 (1.12 1.22)","8.35E-11"
"290.11","Alzheimer's disease","mental disorders","CRYZL1.9207.60.3","SomaScan","Quinone oxidoreductase-like protein 1","1.20 (1.14 1.27)","3.62E-10"
"290.11","Alzheimer's disease","mental disorders","STAR.10085.25.3","SomaScan","Steroidogenic acute regulatory protein, mitochondrial","1.19 (1.13 1.25)","6.26E-10"
"290.11","Alzheimer's disease","mental disorders","TMEM59L.9959.60.3","SomaScan","Transmembrane protein 59-like","1.16 (1.11 1.21)","9.39E-10"
"290.11","Alzheimer's disease","mental disorders","XRCC4.9886.28.3","SomaScan","DNA repair protein XRCC4","1.16 (1.11 1.21)","1.08E-8"
"290.11","Alzheimer's disease","mental disorders","CFL1.4203.50.2","SomaScan","Cofilin-1","1.15 (1.10 1.20)","1.14E-8"
"290.11","Alzheimer's disease","mental disorders","UBE2G2.9199.6.3","SomaScan","Ubiquitin-conjugating enzyme E2 G2","1.16 (1.11 1.21)","5.64E-8"
"290.11","Alzheimer's disease","mental disorders","RNF122.11160.56.3","SomaScan","RING finger protein 122","1.16 (1.10 1.21)","1.39E-7"
"290.11","Alzheimer's disease","mental disorders","PCDHB10.9963.19.3","SomaScan","Protocadherin beta-10","1.17 (1.11 1.23)","5.05E-7"
"290.11","Alzheimer's disease","mental disorders","CPA2.9276.7.3","SomaScan","Carboxypeptidase A2","1.14 (1.09 1.19)","5.05E-7"
"290.11","Alzheimer's disease","mental disorders","FAM20A.6433.57.3","SomaScan","Pseudokinase FAM20A","0.88 (0.84 0.92)","8.96E-7"
"290.11","Alzheimer's disease","mental disorders","ADAM11.6586.19.3","SomaScan","Disintegrin and metalloproteinase domain-containing protein 11","0.88 (0.84 0.92)","1.21E-6"
"290.11","Alzheimer's disease","mental disorders","MAGEA3.12576.21.3","SomaScan","Melanoma-associated antigen 3","1.13 (1.08 1.18)","3.07E-6"
"290.11","Alzheimer's disease","mental disorders","GRB7.11281.6.3","SomaScan","Growth factor receptor-bound protein 7","0.89 (0.85 0.93)","2.38E-5"
"290.11","Alzheimer's disease","mental disorders","TRADD.13507.51.3","SomaScan","Tumor necrosis factor receptor type 1-associated DEATH domain protein","1.12 (1.07 1.17)","1.13E-4"
"290.11","Alzheimer's disease","mental disorders","MAPKAPK5.8382.47.3","SomaScan","MAP kinase-activated protein kinase 5","1.11 (1.07 1.17)","1.35E-4"
"290.11","Alzheimer's disease","mental disorders","RGMA.5483.1.3","SomaScan","Repulsive guidance molecule A","0.90 (0.86 0.94)","3.24E-4"
"290.11","Alzheimer's disease","mental disorders","SLC5A8.13691.10.3","SomaScan","Sodium-coupled monocarboxylate transporter 1","1.11 (1.06 1.16)","5.14E-4"
"290.11","Alzheimer's disease","mental disorders","LRTM2.8906.60.3","SomaScan","Leucine-rich repeat and transmembrane domain-containing protein 2","1.11 (1.06 1.16)","8.23E-4"
"290.11","Alzheimer's disease","mental disorders","HBQ1.7965.25.3","SomaScan","Hemoglobin subunit theta-1","0.92 (0.88 0.96)","4.53E-3"
"290.11","Alzheimer's disease","mental disorders","C17orf89.9030.56.3","SomaScan","Uncharacterized protein C17orf89","1.07 (1.04 1.11)","4.69E-3"
"290.11","Alzheimer's disease","mental disorders","ANXA9.13588.11.3","SomaScan","Annexin A9","1.11 (1.05 1.16)","4.75E-3"
"290.11","Alzheimer's disease","mental disorders","CD33.3166.92.1","SomaScan","Myeloid cell surface antigen CD33","1.09 (1.05 1.15)","8.02E-3"
"290.11","Alzheimer's disease","mental disorders","SPOCK1.5490.53.3","SomaScan","Testican-1","1.09 (1.04 1.14)","1.07E-2"
"290.11","Alzheimer's disease","mental disorders","GALP.9398.30.3","SomaScan","Galanin-like peptide","0.92 (0.87 0.96)","1.23E-2"
"290.11","Alzheimer's disease","mental disorders","BIN1.9574.11.3","SomaScan","Myc box-dependent-interacting protein 1","1.09 (1.04 1.13)","1.93E-2"
"290.11","Alzheimer's disease","mental disorders","DSCAM.9175.48.3","SomaScan","Down syndrome cell adhesion molecule","1.07 (1.03 1.12)","4.62E-2"
"290.11","Alzheimer's disease","mental disorders","P09601","Olink","Heme oxygenase 1","0.86 (0.83 0.90)","2.93E-8"
"290.11","Alzheimer's disease","mental disorders","M44877","Metabolon","N-palmitoyl-sphingosine (d18:1/16:0)","1.81 (1.74 1.88)","9.30E-200"
"290.11","Alzheimer's disease","mental disorders","M00063","Metabolon","cholesterol","1.83 (1.74 1.93)","9.88E-112"
"290.11","Alzheimer's disease","mental disorders","M52616","Metabolon","1-palmitoyl-2-stearoyl-GPC (16:0/18:0)","1.60 (1.53 1.67)","2.02E-99"
"290.11","Alzheimer's disease","mental disorders","M46799","Metabolon","1-oleoyl-3-linoleoyl-glycerol (18:1/18:2)","1.37 (1.32 1.43)","9.14E-49"
"290.11","Alzheimer's disease","mental disorders","M46798","Metabolon","1-oleoyl-2-linoleoyl-glycerol (18:1/18:2)","1.32 (1.27 1.38)","1.13E-37"
"290.11","Alzheimer's disease","mental disorders","M48492","Metabolon","behenoyl sphingomyelin (d18:1/22:0)*","1.49 (1.38 1.60)","5.69E-25"
"290.11","Alzheimer's disease","mental disorders","M37506","Metabolon","palmitoyl sphingomyelin (d18:1/16:0)","1.17 (1.12 1.23)","1.39E-8"
"290.11","Alzheimer's disease","mental disorders","M52435","Metabolon","sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*","1.15 (1.10 1.21)","2.58E-8"
"290.11","Alzheimer's disease","mental disorders","M52434","Metabolon","palmitoyl dihydrosphingomyelin (d18:0/16:0)*","1.13 (1.08 1.19)","1.63E-5"
"290.11","Alzheimer's disease","mental disorders","M52615","Metabolon","sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)","1.12 (1.07 1.17)","1.43E-4"
"290.11","Alzheimer's disease","mental disorders","M48493","Metabolon","sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*","1.11 (1.06 1.16)","2.97E-4"
"290.11","Alzheimer's disease","mental disorders","M52449","Metabolon","1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)","1.08 (1.03 1.13)","3.57E-2"
"290.11","Alzheimer's disease","mental disorders","mldlfc","Nightingale","Free cholesterol in medium LDL","1.66 (1.58 1.75)","7.97E-79"
